C¢digoModelo,Descripci¢nModelo,Precio,C¢digoMarca
1,F60,200,1
2,G3 + G Watch,1800,1
3,G3 Beat D722,2000,1
4,G4 Beat H735P,2400,1
5,G4 H815,2600,1
6,G4 Stylus H635,2800,1
7,Spirit C70 H440,1600,1
8,Lumia 635,300,2
9,Lumia 735,500,2
10,Lumia 640 XL,450,2
11,Lumia 635,300,2
12,Moto E LTE XT1527,400,3
13,Moto E LTE XT1527 + Tablet Minion,600,3
14,Moto G 16GB XT1542,650,3
15,Moto G XT-1040 LTE,700,3
16,G620,350,4
17,P8,250,4
18,Y635,300,4
19,iPhone 6 16GB,2000,5
20,iPhone 6 64GB,2500,5
21,iPhone 6 Plus 128GB,3000,5
22,iPhone 6 Plus 16GB,3200,5
23,iPhone 6 Plus 64GB,2800,5
24,Galaxy E5 E500M,1200,6
25,Galaxy E7 E700M,2000,6
26,Galaxy S6 32GB,2500,6
27,Galaxy S6 64GB,2800,6
28,Galaxy S6 Edge 32GB,1800,6
29,Galaxy S6 Edge 64GB,2300,6
